ID,BATCH_PREP_FUER,COLOR_PREP_FUER,TIPO_ESMALTE_PREP_FUER,VOLUMEN(L)_PREP_FUER,KG_HUMEDOS_PREP_FUER,DENSIDAD(KG/L)_PREP_FUER,KG_SECOS_PREP_FUER,KG_VIRGEN_PREP_FUER,%_RECUPERADOS_PREP_FUER,KG_RECUPERADOS_PREP_FUER,BATCH_PREP,COLOR_PREP,TIPO_ESMALTE_PREP,KG_SECOS_PREP
1,,,,230.0,393.76,1.712,,259.577816,0.0,0.0,14.0,NEGRO,FERRUM,259.577816
2,,,,230.0,393.76,1.712,,259.577816,0.0,0.0,14.0,NEGRO, ,259.577816
3,,,,230.0,393.76,1.712,,233.6200344,10.0,25.957781599999976,14.0,NEGRO, ,259.577816
4,,,,230.0,393.76,1.712,,233.6200344,10.0,25.957781599999976,14.0,CIPRÉS, ,259.577816
